ECE Drive Cycle																																		
BPM																																		
Universal_Format																																		
Duty_Cycle_Definition=0																																		
Duty_Cycle_Input_Type=1																																		
Duty_Cycle_Drive_Type=0																																		
Duty_Cycle_DC_Bus_Voltage_Definition=0																																		
Duty_Cycle_Data=																																		
Period	Elapsed Time	Time	Points	Torque [Start]	Torque [End]	Current [Start]	Current [End]	Armature Copper DC	Armature Copper AC	Aux Armature Copper	Field Copper	Stator Back Iron	Stator Tooth	Magnet	Rotor Back Iron	Embedded Magnet Pole	Rotor Tooth	Stray Load Stator Iron	Stray Load Rotor Iron	Stray Load Armature Copper	Stray Load Field Copper	Friction Front Bearing	Friction Rear Bearing	Brush Friction	Brush Electrical	Windage	Windage Exterior Fan	Encoder	Speed [Start]	Speed [End]	Fault	Ambient Temp [End]	Altitude [End]	DC Bus Voltage
1	1	1	1	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.588235294	5.588235294	0	0	0	0
2	2	1	1	0	-36.23939394	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.588235294	-0.727272727	0	0	0	0
3	3	1	1	-36.23939394	-62.68484848	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.727272727	54.93939394	0	0	0	0
4	4	1	1	-62.68484848	-65.66363636	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.93939394	276.1818182	0	0	0	0
5	5	1	1	-65.66363636	-64.66363636	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276.1818182	573.9090909	0	0	0	0
6	6	1	1	-64.66363636	-64.08181818	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	573.9090909	875.969697	0	0	0	0
7	7	1	1	-64.08181818	-63.04848485	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	875.969697	1164.30303	0	0	0	0
8	8	1	1	-63.04848485	-62.7	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1164.30303	1446.69697	0	0	0	0
9	9	1	1	-62.7	-62.05454545	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1446.69697	1730.617647	0	0	0	0
10	10	1	1	-62.05454545	-60.65294118	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1730.617647	2012.363636	0	0	0	0
11	11	1	1	-60.65294118	-60.0030303	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2012.363636	2281.617647	0	0	0	0
12	12	1	1	-60.0030303	-59.21212121	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2281.617647	2549	0	0	0	0
13	13	1	1	-59.21212121	-57.66666667	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2549	2810.545455	0	0	0	0
14	14	1	1	-57.66666667	-56.96363636	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2810.545455	3065	0	0	0	0
15	15	1	1	-56.96363636	-56.13939394	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3065	3309.666667	0	0	0	0
16	16	1	1	-56.13939394	-54.55454545	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3309.666667	3551.848485	0	0	0	0
17	17	1	1	-54.55454545	-54.17575758	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3551.848485	3786.151515	0	0	0	0
18	18	1	1	-54.17575758	-53.96060606	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3786.151515	4015.69697	0	0	0	0
19	19	1	1	-53.96060606	-53.02121212	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4015.69697	4236.909091	0	0	0	0
20	20	1	1	-53.02121212	-53.05151515	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4236.909091	4458.69697	0	0	0	0
21	21	1	1	-53.05151515	-53.60294118	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4458.69697	4675.575758	0	0	0	0
22	22	1	1	-53.60294118	-54.73636364	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4675.575758	4891	0	0	0	0
23	23	1	1	-54.73636364	-55	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4891	5108.030303	0	0	0	0
24	24	1	1	-55	-55.28181818	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5108.030303	5322.28125	0	0	0	0
25	25	1	1	-55.28181818	-56.2	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5322.28125	5542.848485	0	0	0	0
