CLTC Drive Cycle																																		
BPM																																		
Universal_Format																																		
Duty_Cycle_Definition=0																																		
Duty_Cycle_Input_Type=1																																		
Duty_Cycle_Drive_Type=0																																		
Duty_Cycle_DC_Bus_Voltage_Definition=0																																		
Duty_Cycle_Data=																																		
Period	Elapsed Time	Time	Points	Torque [Start]	Torque [End]	Current [Start]	Current [End]	Armature Copper DC	Armature Copper AC	Aux Armature Copper	Field Copper	Stator Back Iron	Stator Tooth	Magnet	Rotor Back Iron	Embedded Magnet Pole	Rotor Tooth	Stray Load Stator Iron	Stray Load Rotor Iron	Stray Load Armature Copper	Stray Load Field Copper	Friction Front Bearing	Friction Rear Bearing	Brush Friction	Brush Electrical	Windage	Windage Exterior Fan	Encoder	Speed [Start]	Speed [End]	Fault	Ambient Temp [End]	Altitude [End]	DC Bus Voltage
1	1	1	1	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.588235294	5.588235294	0	0	0	0
2	2	1	1	0	-7.247878788	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.588235294	-0.727272727	0	0	0	0
3	3	1	1	-7.247878788	-12.5369697	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.727272727	54.93939394	0	0	0	0
4	4	1	1	-12.5369697	-13.13272727	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.93939394	276.1818182	0	0	0	0
5	5	1	1	-13.13272727	-12.93272727	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276.1818182	573.9090909	0	0	0	0
6	6	1	1	-12.93272727	-12.81636364	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	573.9090909	875.969697	0	0	0	0
7	7	1	1	-12.81636364	-12.60969697	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	875.969697	1164.30303	0	0	0	0
8	8	1	1	-12.60969697	-12.54	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1164.30303	1446.69697	0	0	0	0
9	9	1	1	-12.54	-12.41090909	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1446.69697	1730.617647	0	0	0	0
10	10	1	1	-12.41090909	-12.13058824	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1730.617647	2012.363636	0	0	0	0
11	11	1	1	-12.13058824	-12.00060606	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2012.363636	2281.617647	0	0	0	0
12	12	1	1	-12.00060606	-11.84242424	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2281.617647	2549	0	0	0	0
13	13	1	1	-11.84242424	-11.53333333	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2549	2810.545455	0	0	0	0
14	14	1	1	-11.53333333	-11.39272727	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2810.545455	3065	0	0	0	0
15	15	1	1	-11.39272727	-11.22787879	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3065	3309.666667	0	0	0	0
16	16	1	1	-11.22787879	-10.91090909	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3309.666667	3551.848485	0	0	0	0
17	17	1	1	-10.91090909	-10.83515152	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3551.848485	3786.151515	0	0	0	0
18	18	1	1	-10.83515152	-10.79212121	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3786.151515	4015.69697	0	0	0	0
19	19	1	1	-10.79212121	-10.60424242	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4015.69697	4236.909091	0	0	0	0
20	20	1	1	-10.60424242	-10.61030303	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4236.909091	4458.69697	0	0	0	0
21	21	1	1	-10.61030303	-10.72058824	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4458.69697	4675.575758	0	0	0	0
22	22	1	1	-10.72058824	-10.94727273	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4675.575758	4891	0	0	0	0
23	23	1	1	-10.94727273	-11	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4891	5108.030303	0	0	0	0
24	24	1	1	-11	-11.05636364	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5108.030303	5322.28125	0	0	0	0
25	25	1	1	-11.05636364	-11.24	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5322.28125	5542.848485	0	0	0	0
26	26	1	1	-11.24	-11.23764706	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5542.848485	5760.030303	0	0	0	0
27	27	1	1	-11.23764706	-11.2569697	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5760.030303	5981.617647	0	0	0	0
28	28	1	1	-11.2569697	-10.88121212	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5981.617647	6200.727273	0	0	0	0
29	29	1	1	-10.88121212	-10.48909091	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6200.727273	6411.212121	0	0	0	0
30	30	1	1	-10.48909091	-10.08060606	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6411.212121	6613.242424	0	0	0	0
31	31	1	1	-10.08060606	-9.54882353	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6613.242424	6802.090909	0	0	0	0
