Temperature Data
,"No. Curves",103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Legend,Ambient,,"Housing [Active]",,"Housing OH [Front]",,"Housing [Front]",,"Endcap [Front]",,"Housing OH [Rear]",,"Housing [Rear]",,"Endcap [Rear]",,"Stator Back Iron",,"Stator Surface",,"Rotor Surface",,Magnet,,"Rotor Back Iron",,"Shaft [Active]",,"Shaft [Front]",,"Shaft [Rear]",,"Shaft OHang [F]",,"Shaft OHang [R]",,"End Space [F]",,"End Space [R]",,"Housing Water Jacket [A]",,"Embedded Magnet Pole",,"Bearing [Front]",,"Bearing [Rear]",,"Rotor Lam [F]",,"Rotor Lam [R]",,"Magnet [F]",,"Magnet [R]",,"Housing WJ Inlet [F]",,"EWdg_Outer_F (C0)",,"EWdg_End_F (C1)",,"EWdg_Front_F (C1)",,"EWdg_Rear_F (C1)",,"EWdg_F (Average) (C1)",,"EWdg_Outer_R (C1)",,"EWdg_End_R (C1)",,"EWdg_Front_R (C1)",,"EWdg_Rear_R (C1)",,"EWdg_R (Average) (C1)",,"Wedge (C1)",,"SlotCentre (C1)",,"Liner (C1)",,"Liner_Yoke (C1)",,"Wdg_F (C1)",,"Wdg_R (C1)",,"Wdg (Average) (C1)",,"Stator Tooth (C1)",,"EWdg_Outer_F (C1)",,"EWdg_End_F (C2)",,"EWdg_Front_F (C2)",,"EWdg_Rear_F (C2)",,"EWdg_F (Average) (C2)",,"EWdg_Outer_R (C2)",,"EWdg_End_R (C2)",,"EWdg_Front_R (C2)",,"EWdg_Rear_R (C2)",,"EWdg_R (Average) (C2)",,"SlotCentre (C2)",,"Liner (C2)",,"Wdg_inner_C (C2)",,"Wdg_F (C2)",,"Wdg_R (C2)",,"Wdg (Average) (C2)",,"Stator Tooth (C2)",,"EWdg_Outer_F (C2)",,"EWdg_End_F (C3)",,"EWdg_Front_F (C3)",,"EWdg_Rear_F (C3)",,"EWdg_F (Average) (C3)",,"EWdg_Outer_R (C3)",,"EWdg_End_R (C3)",,"EWdg_Front_R (C3)",,"EWdg_Rear_R (C3)",,"EWdg_R (Average) (C3)",,"SlotCentre (C3)",,"Liner (C3)",,"Wdg_inner_C (C3)",,"Wdg_F (C3)",,"Wdg_R (C3)",,"Wdg (Average) (C3)",,"Stator Tooth (C3)",,"EWdg_Outer_F (C3)",,"EWdg_Bore_F (C4)",,"EWdg_End_F (C4)",,"EWdg_Front_F (C4)",,"EWdg_Rear_F (C4)",,"EWdg_F (Average) (C4)",,"EWdg_Outer_R (C4)",,"EWdg_Bore_R (C4)",,"EWdg_End_R (C4)",,"EWdg_Front_R (C4)",,"EWdg_Rear_R (C4)",,"EWdg_R (Average) (C4)",,"SlotCentre (C4)",,"Liner (C4)",,"Wdg_inner_C (C4)",,"Wdg_F (C4)",,"Wdg_R (C4)",,"Wdg (Average) (C4)",,"Stator Tooth (C4)",,"Winding (Average)",,"Winding (Coolspot)",,"Winding (Hotspot)",,
,Symbol,None,,Rectangle,,Circle,,Triangle,,DownTriangle,,Cross,,DiagCross,,Star,,Diamond,,Rectangle,,Circle,,Triangle,,DownTriangle,,Cross,,DiagCross,,Star,,Diamond,,Rectangle,,Circle,,Triangle,,DownTriangle,,Cross,,DiagCross,,Star,,Diamond,,Rectangle,,Circle,,Triangle,,DownTriangle,,Cross,,DiagCross,,Star,,Diamond,,Rectangle,,Circle,,Triangle,,DownTriangle,,Cross,,DiagCross,,Star,,Diamond,,Rectangle,,Circle,,Triangle,,DownTriangle,,Cross,,DiagCross,,Star,,Diamond,,Rectangle,,Circle,,Triangle,,DownTriangle,,Cross,,DiagCross,,Star,,Diamond,,Rectangle,,Circle,,Triangle,,DownTriangle,,Cross,,DiagCross,,Star,,Diamond,,Rectangle,,Circle,,Triangle,,DownTriangle,,Cross,,DiagCross,,Star,,Diamond,,Rectangle,,Circle,,Triangle,,DownTriangle,,Cross,,DiagCross,,Star,,Diamond,,Rectangle,,Circle,,Triangle,,DownTriangle,,Cross,,DiagCross,,Star,,Diamond,,Rectangle,,Circle,,Triangle,,DownTriangle,,Cross,,DiagCross,,Star,,Diamond,,Rectangle,,Circle,,Triangle,,DownTriangle,,Cross,,DiagCross,,
,"Line Color",White,,Blue,,Blue,,Blue,,Brown,,Blue,,Blue,,Brown,,Red,,Red,,Aqua,,LtGreen,,Aqua,,Silver,,Silver,,Silver,,Silver,,Silver,,White,,White,,HousingWJ,,Aqua,,Silver,,Silver,,Orange,,Orange,,Orange,,Orange,,HousingWJ,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,LtGreen,,Green,,Green,,Yellow,,Yellow,,Yellow,,Red,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,LtGreen,,Green,,Yellow,,Yellow,,Yellow,,Yellow,,Red,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,LtGreen,,Green,,Yellow,,Yellow,,Yellow,,Yellow,,Red,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,LtGreen,,Green,,Yellow,,Yellow,,Yellow,,Yellow,,Red,,Yellow,,Yellow,,Yellow,,
,Offset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Multiplier,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,"No. Points",391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,391,,
,Data...,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,
,1,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,
,2,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,
